Generation,Best_Fitness_RMSE
1,2083.014864641058
2,2052.0642497986046
3,1844.545127724997
4,1844.545127724997
5,1844.545127724997
6,1844.545127724997
7,1787.8125252809507
8,1787.8125252809507
9,1787.8125252809507
10,1787.8125252809507
11,1787.8125252809507
12,1787.8125252809507
13,1787.8125252809507
14,1787.8125252809507
15,1787.8125252809507
16,1787.8125252809507
17,1787.8125252809507
18,1787.8125252809507
19,1787.8125252809507
20,1787.8125252809507
21,1787.8125252809507
22,1787.8125252809507
23,1787.8125252809507
24,1787.8125252809507
25,1787.8125252809507
26,1787.8125252809507
27,1787.8125252809507
28,1787.8125252809507
29,1787.8125252809507
30,1787.8125252809507
