Generation,Best_Fitness_RMSE
1,2083.014864641058
2,1877.8468240650284
3,1875.9663452324735
4,1875.9663452324735
5,1875.9663452324735
6,1875.9663452324735
7,1875.9663452324735
8,1867.6979422135212
9,1867.6979422135212
10,1867.6979422135212
11,1867.6979422135212
12,1867.6979422135212
13,1867.6979422135212
14,1867.6979422135212
15,1867.6979422135212
16,1867.6979422135212
17,1867.6979422135212
18,1867.6979422135212
19,1867.6979422135212
20,1867.6979422135212
21,1867.6979422135212
22,1867.6979422135212
23,1867.6979422135212
24,1867.6979422135212
25,1867.6979422135212
26,1867.6979422135212
27,1867.6979422135212
28,1867.6979422135212
29,1867.6979422135212
30,1867.6979422135212
